"";"uf";"codUf";"codIbge";"nomeMun"
"1";"AC";"12";"1200013";"ACRELANDIA"
"2";"AC";"12";"1200054";"ASSIS BRASIL"
"3";"AC";"12";"1200104";"BRASILEIA"
"4";"AC";"12";"1200138";"BUJARI"
"5";"AC";"12";"1200179";"CAPIXABA"
"6";"AC";"12";"1200203";"CRUZEIRO DO SUL"
"7";"AC";"12";"1200252";"EPITACIOLANDIA"
"8";"AC";"12";"1200302";"FEIJO"
"9";"AC";"12";"1200328";"JORDAO"
"10";"AC";"12";"1200336";"MANCIO LIMA"
"11";"AC";"12";"1200344";"MANOEL URBANO"
"12";"AC";"12";"1200351";"MARECHAL THAUMATURGO"
"13";"AC";"12";"1200385";"PLACIDO DE CASTRO"
"14";"AC";"12";"1200807";"PORTO ACRE"
"15";"AC";"12";"1200393";"PORTO WALTER"
"16";"AC";"12";"1200401";"RIO BRANCO"
"17";"AC";"12";"1200427";"RODRIGUES ALVES"
"18";"AC";"12";"1200435";"SANTA ROSA DO PURUS"
"19";"AC";"12";"1200500";"SENA MADUREIRA"
"20";"AC";"12";"1200450";"SENADOR GUIOMARD"
"21";"AC";"12";"1200609";"TARAUACA"
"22";"AC";"12";"1200708";"XAPURI"
"23";"AL";"27";"2700102";"AGUA BRANCA"
"24";"AL";"27";"2700201";"ANADIA"
"25";"AL";"27";"2700300";"ARAPIRACA"
"26";"AL";"27";"2700409";"ATALAIA"
"27";"AL";"27";"2700508";"BARRA DE SANTO ANTONIO"
"28";"AL";"27";"2700607";"BARRA DE SAO MIGUEL"
"29";"AL";"27";"2700706";"BATALHA"
"30";"AL";"27";"2700805";"BELEM"
"31";"AL";"27";"2700904";"BELO MONTE"
"32";"AL";"27";"2701001";"BOCA DA MATA"
"33";"AL";"27";"2701100";"BRANQUINHA"
"34";"AL";"27";"2701209";"CACIMBINHAS"
"35";"AL";"27";"2701308";"CAJUEIRO"
"36";"AL";"27";"2701357";"CAMPESTRE"
"37";"AL";"27";"2701407";"CAMPO ALEGRE"
"38";"AL";"27";"2701506";"CAMPO GRANDE"
"39";"AL";"27";"2701605";"CANAPI"
"40";"AL";"27";"2701704";"CAPELA"
"41";"AL";"27";"2701803";"CARNEIROS"
"42";"AL";"27";"2701902";"CHA PRETA"
"43";"AL";"27";"2702009";"COITE DO NOIA"
"44";"AL";"27";"2702108";"COLONIA LEOPOLDINA"
"45";"AL";"27";"2702207";"COQUEIRO SECO"
"46";"AL";"27";"2702306";"CORURIPE"
"47";"AL";"27";"2702355";"CRAIBAS"
"48";"AL";"27";"2702405";"DELMIRO GOUVEIA"
"49";"AL";"27";"2702504";"DOIS RIACHOS"
"50";"AL";"27";"2702553";"ESTRELA DE ALAGOAS"
"51";"AL";"27";"2702603";"FEIRA GRANDE"
"52";"AL";"27";"2702702";"FELIZ DESERTO"
"53";"AL";"27";"2702801";"FLEXEIRAS"
"54";"AL";"27";"2702900";"GIRAU DO PONCIANO"
"55";"AL";"27";"2703007";"IBATEGUARA"
"56";"AL";"27";"2703106";"IGACI"
"57";"AL";"27";"2703205";"IGREJA NOVA"
"58";"AL";"27";"2703304";"INHAPI"
"59";"AL";"27";"2703403";"JACARE DOS HOMENS"
"60";"AL";"27";"2703502";"JACUIPE"
"61";"AL";"27";"2703601";"JAPARATINGA"
"62";"AL";"27";"2703700";"JARAMATAIA"
"63";"AL";"27";"2703759";"JEQUIA DA PRAIA"
"64";"AL";"27";"2703809";"JOAQUIM GOMES"
"65";"AL";"27";"2703908";"JUNDIA"
"66";"AL";"27";"2704005";"JUNQUEIRO"
"67";"AL";"27";"2704104";"LAGOA DA CANOA"
"68";"AL";"27";"2704203";"LIMOEIRO DE ANADIA"
"69";"AL";"27";"2704302";"MACEIO"
"70";"AL";"27";"2704401";"MAJOR ISIDORO"
"71";"AL";"27";"2704401";"MAJOR IZIDORO"
"72";"AL";"27";"2704906";"MAR VERMELHO"
"73";"AL";"27";"2704500";"MARAGOGI"
"74";"AL";"27";"2704609";"MARAVILHA"
"75";"AL";"27";"2704708";"MARECHAL DEODORO"
"76";"AL";"27";"2704807";"MARIBONDO"
"77";"AL";"27";"2705002";"MATA GRANDE"
"78";"AL";"27";"2705101";"MATRIZ DE CAMARAGIBE"
"79";"AL";"27";"2705200";"MESSIAS"
"80";"AL";"27";"2705309";"MINADOR DO NEGRAO"
"81";"AL";"27";"2705408";"MONTEIROPOLIS"
"82";"AL";"27";"2705507";"MURICI"
"83";"AL";"27";"2705606";"NOVO LINO"
